donor,region,roi,other_immune,epithelial,unknown,PP cell,beta cell,macrophage,cd8_t,cd4_t,b_cell,mdsc,fibroblast,alpha cell,endothelial,acinar
HPAP-040,Body of pancreas,ROI2,313.0,369.0,422.0,0.0,0.0,36.0,14.0,6.0,1.0,149.0,289.0,0.0,0.0,0.0
HPAP-040,Body of pancreas,ROI3,309.0,282.0,326.0,0.0,0.0,39.0,18.0,3.0,0.0,198.0,275.0,0.0,0.0,0.0
HPAP-040,Head of pancreas,ROI1,215.0,1674.0,653.0,0.0,0.0,59.0,37.0,2.0,1.0,919.0,0.0,0.0,0.0,0.0
HPAP-040,Head of pancreas,ROI2,294.0,726.0,634.0,0.0,0.0,49.0,37.0,2.0,0.0,753.0,0.0,0.0,0.0,600.0
HPAP-040,Head of pancreas,ROI3,422.0,527.0,497.0,0.0,0.0,68.0,24.0,0.0,0.0,1029.0,0.0,0.0,177.0,0.0
HPAP-040,Tail of pancreas,ROI1,472.0,1772.0,724.0,0.0,0.0,45.0,18.0,1.0,0.0,63.0,0.0,0.0,0.0,0.0
HPAP-040,Tail of pancreas,ROI2,776.0,1519.0,255.0,0.0,0.0,51.0,45.0,1.0,0.0,87.0,0.0,0.0,0.0,0.0
HPAP-040,Tail of pancreas,ROI3,390.0,958.0,259.0,0.0,0.0,50.0,28.0,2.0,0.0,94.0,0.0,0.0,112.0,0.0
HPAP-042,Body of pancreas,ROI1,335.0,1192.0,0.0,0.0,0.0,20.0,0.0,0.0,3.0,5.0,317.0,675.0,36.0,0.0
HPAP-042,Body of pancreas,ROI2,0.0,1148.0,0.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,396.0,0.0
HPAP-042,Body of pancreas,ROI3,380.0,322.0,0.0,0.0,0.0,15.0,1.0,3.0,2.0,29.0,0.0,192.0,0.0,0.0
HPAP-042,Tail of pancreas,ROI1,379.0,858.0,160.0,0.0,0.0,18.0,2.0,1.0,1.0,13.0,0.0,0.0,187.0,0.0
HPAP-042,Tail of pancreas,ROI2,544.0,956.0,0.0,324.0,0.0,27.0,1.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0
HPAP-046,Body of pancreas,ROI1,262.0,624.0,654.0,0.0,0.0,24.0,5.0,2.0,1.0,203.0,0.0,0.0,0.0,0.0
HPAP-046,Body of pancreas,ROI2,683.0,1235.0,630.0,0.0,0.0,78.0,24.0,15.0,2.0,144.0,0.0,0.0,0.0,0.0
HPAP-046,Body of pancreas,ROI3,750.0,1095.0,759.0,0.0,0.0,67.0,10.0,1.0,0.0,144.0,0.0,0.0,0.0,0.0
HPAP-046,Head of pancreas,ROI1,1436.0,813.0,0.0,560.0,0.0,66.0,23.0,1.0,0.0,139.0,0.0,0.0,0.0,0.0
HPAP-046,Head of pancreas,ROI3,111.0,78.0,0.0,0.0,0.0,23.0,5.0,6.0,0.0,19.0,113.0,0.0,97.0,0.0
HPAP-046,Tail of pancreas,ROI1,1243.0,1214.0,872.0,567.0,0.0,70.0,28.0,2.0,0.0,161.0,0.0,0.0,0.0,0.0
HPAP-046,Tail of pancreas,ROI2,435.0,2044.0,823.0,0.0,0.0,61.0,9.0,2.0,0.0,23.0,0.0,0.0,136.0,0.0
HPAP-046,Tail of pancreas,ROI3,550.0,1654.0,643.0,0.0,0.0,28.0,20.0,2.0,1.0,24.0,0.0,0.0,154.0,0.0
HPAP-047,Body of pancreas,ROI1,1039.0,1333.0,0.0,0.0,147.0,317.0,3.0,0.0,173.0,8.0,0.0,0.0,141.0,0.0
HPAP-047,Body of pancreas,ROI2,885.0,501.0,0.0,445.0,0.0,225.0,3.0,0.0,159.0,0.0,0.0,0.0,107.0,0.0
HPAP-047,Body of pancreas,ROI3,562.0,664.0,0.0,766.0,0.0,47.0,3.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0
HPAP-052,Body of pancreas,ROI1,906.0,918.0,470.0,65.0,0.0,80.0,21.0,2.0,1.0,164.0,0.0,0.0,0.0,0.0
HPAP-052,Body of pancreas,ROI2,595.0,2698.0,0.0,0.0,0.0,220.0,24.0,2.0,0.0,56.0,0.0,0.0,53.0,0.0
HPAP-052,Body of pancreas,ROI3,660.0,1263.0,439.0,841.0,0.0,168.0,22.0,3.0,2.0,192.0,515.0,0.0,76.0,0.0
HPAP-052,Head of pancreas,ROI1,1469.0,1951.0,0.0,113.0,0.0,363.0,30.0,4.0,0.0,131.0,0.0,0.0,0.0,0.0
HPAP-052,Head of pancreas,ROI2,1056.0,997.0,303.0,0.0,0.0,162.0,16.0,3.0,0.0,130.0,707.0,0.0,0.0,0.0
HPAP-052,Head of pancreas,ROI3,930.0,1772.0,0.0,0.0,0.0,246.0,40.0,2.0,2.0,100.0,696.0,0.0,162.0,0.0
HPAP-052,Tail of pancreas,ROI1,1259.0,1119.0,514.0,0.0,0.0,203.0,29.0,2.0,3.0,50.0,0.0,0.0,554.0,0.0
HPAP-052,Tail of pancreas,ROI2,806.0,2037.0,0.0,0.0,0.0,166.0,33.0,2.0,0.0,6.0,0.0,725.0,0.0,0.0
HPAP-052,Tail of pancreas,ROI3,1750.0,987.0,1088.0,0.0,0.0,257.0,41.0,4.0,0.0,53.0,0.0,0.0,473.0,0.0
HPAP-053,Body of pancreas,ROI1,1543.0,1707.0,0.0,278.0,76.0,188.0,46.0,3.0,1.0,136.0,0.0,0.0,0.0,0.0
HPAP-053,Body of pancreas,ROI2,1427.0,1330.0,365.0,0.0,0.0,158.0,55.0,0.0,0.0,44.0,0.0,0.0,101.0,0.0
HPAP-053,Body of pancreas,ROI3,1674.0,306.0,998.0,0.0,0.0,105.0,32.0,1.0,1.0,92.0,0.0,0.0,54.0,0.0
HPAP-053,Head of pancreas,ROI1,2056.0,1184.0,595.0,0.0,0.0,179.0,34.0,0.0,0.0,71.0,0.0,0.0,399.0,0.0
HPAP-053,Head of pancreas,ROI2,1455.0,1453.0,953.0,0.0,130.0,159.0,34.0,5.0,0.0,25.0,0.0,0.0,0.0,0.0
HPAP-053,Head of pancreas,ROI3,925.0,1703.0,538.0,0.0,128.0,137.0,18.0,2.0,0.0,8.0,211.0,0.0,90.0,0.0
HPAP-053,Tail of pancreas,ROI1,464.0,417.0,456.0,0.0,0.0,98.0,23.0,5.0,1.0,412.0,0.0,0.0,200.0,0.0
HPAP-053,Tail of pancreas,ROI2,1617.0,587.0,188.0,736.0,0.0,161.0,49.0,1.0,0.0,77.0,0.0,0.0,110.0,0.0
HPAP-053,Tail of pancreas,ROI3,951.0,1226.0,274.0,0.0,0.0,205.0,31.0,0.0,1.0,86.0,390.0,0.0,91.0,0.0
HPAP-054,Body of pancreas,ROI1,917.0,1152.0,551.0,0.0,0.0,75.0,24.0,1.0,2.0,46.0,0.0,0.0,203.0,0.0
HPAP-054,Body of pancreas,ROI2,2053.0,390.0,308.0,715.0,0.0,198.0,33.0,0.0,0.0,74.0,0.0,0.0,306.0,0.0
HPAP-054,Body of pancreas,ROI3,1184.0,817.0,640.0,0.0,0.0,60.0,16.0,3.0,1.0,65.0,0.0,0.0,53.0,0.0
HPAP-054,Head of pancreas,ROI1,460.0,950.0,361.0,0.0,12.0,128.0,15.0,10.0,2.0,247.0,0.0,0.0,0.0,0.0
HPAP-054,Head of pancreas,ROI2,1532.0,891.0,991.0,0.0,0.0,97.0,34.0,1.0,2.0,44.0,0.0,0.0,0.0,0.0
HPAP-054,Head of pancreas,ROI3,701.0,481.0,338.0,0.0,0.0,78.0,9.0,3.0,1.0,302.0,0.0,0.0,124.0,0.0
HPAP-054,Tail of pancreas,ROI1,213.0,910.0,376.0,774.0,0.0,134.0,40.0,15.0,0.0,385.0,0.0,0.0,0.0,0.0
HPAP-054,Tail of pancreas,ROI2,1318.0,363.0,616.0,0.0,0.0,63.0,30.0,8.0,0.0,269.0,0.0,0.0,218.0,0.0
HPAP-054,Tail of pancreas,ROI3,381.0,349.0,129.0,0.0,0.0,56.0,12.0,6.0,5.0,439.0,0.0,0.0,47.0,0.0
HPAP-056,Body of pancreas,ROI2,488.0,0.0,0.0,1132.0,0.0,1118.0,28.0,9.0,1.0,9.0,0.0,0.0,902.0,0.0
HPAP-056,Body of pancreas,ROI3,562.0,0.0,741.0,376.0,0.0,541.0,36.0,10.0,10.0,24.0,0.0,0.0,942.0,0.0
HPAP-056,Body of pancreas,ROI5,506.0,0.0,0.0,1003.0,0.0,400.0,25.0,7.0,3.0,9.0,0.0,0.0,726.0,0.0
HPAP-056,Head of pancreas,ROI1,2052.0,0.0,958.0,3048.0,0.0,1521.0,64.0,10.0,5.0,167.0,0.0,0.0,126.0,0.0
HPAP-056,Head of pancreas,ROI2,585.0,0.0,372.0,290.0,0.0,693.0,9.0,7.0,5.0,13.0,0.0,0.0,29.0,0.0
